smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-meoh_capacity,PointProbability
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1380348057.94,336834.033733,-1380348057.94,-1380109880.31,-1380586235.57,-1380562417.81,-1380133698.07,2.0,113457166281.0,1,0.0714516129032,0.0714270494897,0.000364541277926,0.0714285714286,3.6761913905299995e-14
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1568247257.25,2089402.51782,-1568247257.25,-1566769826.56,-1569724687.94,-1569576944.87,-1566917569.63,2.0,4365602881460.0,65,0.0714516129032,0.142855874575,0.000729091617934,0.0714285714286,3.6761913905299995e-14
720.0,-667.0,-14535.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1684825427.48,6123843.51363,-1684825427.48,-1680495216.2,-1689155638.75,-1688722617.63,-1680928237.33,2.0,37501459379400.0,2,0.0714516129032,0.0714270494897,0.000729082555852,0.142857142857,3.6761913905299995e-14
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1757065064.77,1727180.08568,-1757065064.77,-1755843764.02,-1758286365.53,-1758164235.45,-1755965894.1,2.0,2983151048370.0,129,0.0714516129032,0.14285765017,0.000729100680016,0.0714285714286,3.6761913905299995e-14
720.0,-489.9,-12310.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1784573896.52,12021778.0004,-1784573896.52,-1776073215.78,-1793074577.27,-1792224509.2,-1776923283.85,2.0,144523146291000.0,19,0.142822580645,0.0714270494897,0.00145734221943,0.142857142857,3.6761913905299995e-14
720.0,-667.0,-14535.9,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1818407048.55,1142637.64437,-1818407048.55,-1817599081.73,-1819215015.38,-1819134218.7,-1817679878.41,2.0,1305620786340.0,66,0.0714516129032,0.142855874575,0.00145818323587,0.142857142857,3.6761913905299995e-14
720.0,-578.4,-12310.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1878017283.67,2249128.17123,-1878017283.67,-1876426909.89,-1879607657.45,-1879448620.07,-1876585947.27,2.0,5058577530630.0,11,0.142822580645,0.0714270494897,0.00145734221943,0.142857142857,3.6761913905299995e-14
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,1206843.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1940040268.22,1240873.83719,-1940040268.22,-1939162837.91,-1940917698.52,-1940829955.49,-1939250580.94,2.0,1539767879820.0,193,0.0714516129032,0.14285765017,0.000729100680016,0.0714285714286,3.6761913905299995e-14
720.0,-489.9,-12310.1,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1963974336.19,11805600.8146,-1963974336.19,-1955626515.8,-1972322156.58,-1971487374.54,-1956461297.84,2.0,139372210594000.0,83,0.142822580645,0.142855874575,0.00291472066673,0.142857142857,3.6761913905299995e-14
720.0,-401.3,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1976507125.45,21496100.2572,-1976507125.45,-1961307087.19,-1991707163.71,-1990187159.88,-1962827091.01,2.0,462082326270000.0,28,0.142903225806,0.0714270494897,0.0014581651117,0.142857142857,3.6761913905299995e-14
720.0,-667.0,-12310.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1980262287.07,2487079.68766,-1980262287.07,-1978503656.16,-1982020917.98,-1981845054.89,-1978679519.25,2.0,6185565372760.0,3,0.0714516129032,0.0714270494897,0.000729082555852,0.142857142857,3.6761913905299995e-14
720.0,-667.0,-14535.9,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2012929906.49,10092896.8466,-2012929906.49,-2005793150.69,-2020066662.29,-2019352986.71,-2006506826.27,2.0,101866566756000.0,130,0.0714516129032,0.14285765017,0.00145820136003,0.142857142857,3.6761913905299995e-14
720.0,-578.4,-12310.1,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2029584867.76,26267716.9873,-2029584867.76,-2011010786.95,-2048158948.57,-2046301540.49,-2012868195.03,2.0,689992955723000.0,75,0.142822580645,0.142855874575,0.00291472066673,0.142857142857,3.6761913905299995e-14
720.0,-489.9,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2093161243.3,6763042.65489,-2093161243.3,-2088379049.98,-2097943436.62,-2097465217.29,-2088857269.31,2.0,45738745951900.0,20,0.142822580645,0.0714270494897,0.00145734221943,0.142857142857,3.6761913905299995e-14
720.0,-667.0,-12310.1,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2100693326.34,7524758.8575,-2100693326.34,-2095372518.33,-2106014134.36,-2105482053.56,-2095904599.13,2.0,56621995863500.0,67,0.0714516129032,0.142855874575,0.00145818323587,0.142857142857,3.6761913905299995e-14
