npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5664.0,ref,prairie_island,minnesota,covid,1301597085.6,6488.90174951,1301598903.23,1301602273.91,1301588262.03,1301589448.3,1301602178.23,4.0,42105845.9148,0.0555450773293,0.000343430451027,11,0.111029354054,4.384845775940001e-12,0.0556872037915
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,11327.0,ref,prairie_island,minnesota,covid,1300645528.79,6591.12549901,1300645421.32,1300653646.83,1300637625.68,1300638647.14,1300652560.89,4.0,43442935.3437,0.0555450773293,0.000343733915241,21,0.111127462523,4.384845775940001e-12,0.0556872037915
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,16991.0,ref,prairie_island,minnesota,covid,1299695128.25,16664.9728798,1299692228.48,1299717592.78,1299678463.25,1299679909.84,1299714406.32,4.0,277721321.083,0.0555450773293,0.000343764261663,31,0.111137273369,4.384845775940001e-12,0.0556872037915
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,22655.0,ref,prairie_island,minnesota,covid,1298754364.62,8574.10285208,1298754786.08,1298764424.93,1298743461.39,1298745126.52,1298763012.68,4.0,73515239.7181,0.0555450773293,0.000343764261663,41,0.111137273369,4.384845775940001e-12,0.0556872037915
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,28319.0,ref,prairie_island,minnesota,covid,1297795283.42,25120.3203524,1297792877.09,1297822169.52,1297773209.95,1297773411.68,1297820524.0,4.0,631030494.609,0.0555450773293,0.000343733915241,51,0.111127462523,4.384845775940001e-12,0.0556872037915
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33982.0,ref,prairie_island,minnesota,covid,1296840260.24,66475.0493382,1296817743.44,1296937342.81,1296788211.26,1296791535.44,1296920508.55,4.0,4418932184.52,0.0555450773293,0.000343733915241,61,0.111127462523,4.384845775940001e-12,0.0556872037915
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,39646.0,ref,prairie_island,minnesota,covid,1295904706.23,40875.9792791,1295895472.92,1295962186.03,1295865693.06,1295869734.79,1295952604.31,4.0,1670845682.02,0.0555450773293,0.000343764261663,71,0.111137273369,4.384845775940001e-12,0.0556872037915
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,45310.0,ref,prairie_island,minnesota,covid,1294944317.25,29852.6294245,1294937651.42,1294984048.23,1294917917.91,1294919012.88,1294978953.77,4.0,891179483.557,0.0555450773293,0.000343764261663,81,0.111137273369,4.384845775940001e-12,0.0556872037915
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,50974.0,ref,prairie_island,minnesota,covid,1294004369.69,71093.5250821,1293981377.23,1294106515.06,1293948209.24,1293950770.68,1294090158.15,4.0,5054289308.59,0.0555450773293,0.000171882130831,91,0.0555686366847,4.384845775940001e-12,0.0556872037915
522.0,-460.0,-11565.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5664.0,ref,prairie_island,minnesota,covid,1177333242.85,36244.0177683,1177329370.09,1177377275.11,1177296956.09,1177299102.98,1177372804.57,4.0,1313628823.99,0.111090154659,0.00137372180411,112,0.111029354054,4.384845775940001e-12,0.111374407583
